project_id,project_type,location,sqft,floors,num_units,planned_duration_weeks,actual_duration_weeks,schedule_delay_pct,estimated_cost_cad,actual_cost_cad,cost_overrun_pct,contractor_rating,complexity_score,team_experience_years,num_change_orders,weather_risk_factor,material_volatility,num_subcontractors,budget_pressure,risk_score,risk_score_original,on_budget,on_schedule,data_source
SYN_00000,residential_multi_family,Halifax,123745.0,8,123,495.0,518.5,4.75,35230506.49,39703998.49,12.7,4.5,5,9.2,3,0.36,0.51,16,0.51,47.4,41.1,False,True,synthetic_industry_based
SYN_00001,residential_multi_family,Calgary,82668.0,4,82,480.3,460.0,-4.24,32100860.22,30461728.35,-5.11,4.1,4,13.6,3,0.36,0.51,6,0.34,36.4,12.7,True,True,synthetic_industry_based
SYN_00002,residential_single_family,Toronto,2183.0,2,2,27.4,31.2,13.65,744585.49,938402.66,26.03,3.8,3,6.0,6,0.4,0.42,4,0.42,37.3,45.4,False,False,synthetic_industry_based
SYN_00003,renovation_commercial,Ottawa,41924.0,2,0,203.4,203.7,0.17,7558399.98,7767837.5,2.77,5.0,3,11.7,0,0.4,0.33,3,0.69,35.6,10.9,True,True,synthetic_industry_based
SYN_00004,healthcare_hospital,Toronto,725775.0,4,0,2801.8,2976.8,6.25,651717103.68,724690086.87,11.2,3.9,8,9.7,18,0.38,0.66,111,0.0,60.8,47.5,False,False,synthetic_industry_based
SYN_00005,residential_multi_family,Calgary,99721.0,6,99,647.6,652.8,0.8,43345137.16,45006628.26,3.83,4.1,6,11.5,5,0.45,0.38,13,0.26,41.8,7.2,True,True,synthetic_industry_based
SYN_00006,infrastructure_bridge,Winnipeg,3101.0,0,0,58.1,64.8,11.49,12760514.46,15635850.44,22.53,4.3,5,5.0,11,0.55,0.38,3,0.0,41.1,30.6,False,False,synthetic_industry_based
SYN_00007,education_school,Saskatoon,41976.0,1,0,170.0,174.8,2.86,13955103.95,14858781.63,6.48,4.2,4,7.6,4,0.38,0.32,5,0.43,39.6,21.4,False,True,synthetic_industry_based
SYN_00008,residential_multi_family,Halifax,189153.0,10,189,719.8,822.0,14.19,52752453.63,58423796.89,10.75,3.8,6,13.5,10,0.31,0.25,23,0.52,49.2,39.2,False,False,synthetic_industry_based
SYN_00009,residential_single_family,Vancouver,3218.0,2,3,36.7,49.6,35.15,1447682.73,2076770.45,43.45,3.8,3,6.2,12,0.28,0.38,3,0.23,32.8,57.6,False,False,synthetic_industry_based
SYN_00010,residential_multi_family,Edmonton,142204.0,4,142,824.9,1128.2,36.77,45840469.32,45779476.55,-0.13,4.2,5,11.5,7,0.44,0.47,11,0.45,43.0,55.9,True,False,synthetic_industry_based
SYN_00011,industrial_warehouse,Vancouver,463100.0,1,0,870.5,1016.5,16.77,100411266.02,113433925.44,12.97,3.8,6,9.8,9,0.44,0.54,33,0.63,59.0,30.6,False,False,synthetic_industry_based
SYN_00012,healthcare_hospital,Montreal,892732.0,9,0,5806.9,5226.2,-10.0,755680193.74,771072226.99,2.04,4.8,9,14.9,17,0.33,0.79,134,0.0,55.0,12.4,True,True,synthetic_industry_based
SYN_00013,industrial_warehouse,Toronto,252008.0,1,0,516.7,588.0,13.8,33438234.59,51148419.22,52.96,3.0,6,11.4,23,0.3,0.54,16,0.77,53.0,47.2,False,False,synthetic_industry_based
SYN_00014,residential_multi_family,Edmonton,182159.0,3,182,1037.0,1206.7,16.37,52013370.73,49387471.82,-5.05,3.5,5,9.4,0,0.52,0.52,18,0.51,53.0,40.6,True,False,synthetic_industry_based
SYN_00015,education_school,Victoria,191553.0,1,0,1397.0,1713.9,22.69,81358727.48,86236186.34,6.0,3.7,6,12.8,3,0.27,0.5,14,0.28,44.1,44.9,False,False,synthetic_industry_based
SYN_00016,healthcare_hospital,Calgary,591558.0,9,0,3418.6,4383.1,28.21,358410934.9,484326036.21,35.13,3.5,9,8.8,21,0.38,0.54,89,0.0,63.2,52.5,False,False,synthetic_industry_based
SYN_00017,residential_multi_family,Vancouver,174744.0,14,174,564.0,552.4,-2.07,47586896.96,48800266.42,2.55,5.0,6,15.8,3,0.41,0.48,22,0.54,43.0,6.0,True,True,synthetic_industry_based
SYN_00018,commercial_office,Edmonton,297462.0,22,0,780.3,957.8,22.75,98820636.8,115585702.82,16.97,3.8,9,9.7,14,0.56,0.85,42,0.43,69.4,59.6,False,False,synthetic_industry_based
SYN_00019,commercial_office,Winnipeg,73485.0,16,0,316.5,370.6,17.11,38455797.75,44556305.56,15.86,3.1,6,3.4,6,0.5,0.61,8,0.11,55.4,28.8,False,False,synthetic_industry_based
SYN_00020,residential_multi_family,Edmonton,145773.0,9,145,826.6,803.3,-2.82,59340363.08,60921333.51,2.66,5.0,6,15.6,2,0.46,0.48,15,0.31,35.1,24.3,True,True,synthetic_industry_based
SYN_00021,education_school,Montreal,51559.0,2,0,324.7,339.3,4.49,22693564.64,22383677.38,-1.37,4.1,5,11.2,0,0.49,0.63,13,0.25,43.6,13.0,True,True,synthetic_industry_based
SYN_00022,commercial_office,Halifax,331053.0,4,0,2013.7,2673.2,32.75,131071565.41,131588153.33,0.39,4.4,7,9.8,7,0.42,0.5,52,0.33,56.6,31.5,True,False,synthetic_industry_based
SYN_00023,healthcare_hospital,Halifax,910083.0,13,0,4063.4,4178.1,2.82,537552081.91,663426783.44,23.42,3.9,9,12.4,27,0.39,0.71,136,0.0,58.4,33.7,False,True,synthetic_industry_based
SYN_00024,commercial_office,Saskatoon,349885.0,45,0,918.8,976.0,6.22,167515664.15,177117543.48,5.73,4.0,9,11.1,5,0.37,0.49,52,0.18,54.3,20.0,False,False,synthetic_industry_based
SYN_00025,education_school,Ottawa,62947.0,3,0,382.8,385.6,0.73,28076230.83,31696993.15,12.9,3.9,5,10.2,5,0.38,0.54,9,0.24,39.2,15.1,False,True,synthetic_industry_based
SYN_00026,healthcare_hospital,Victoria,353348.0,5,0,1996.4,2216.6,11.03,277303439.53,314749373.09,13.5,3.4,8,10.8,11,0.26,0.65,50,0.0,56.5,18.5,False,False,synthetic_industry_based
SYN_00027,renovation_commercial,Saskatoon,46945.0,7,0,250.8,325.4,29.75,7669969.69,8508454.91,10.93,3.7,4,5.2,6,0.39,0.56,6,0.72,52.5,51.7,False,False,synthetic_industry_based
SYN_00028,industrial_warehouse,Ottawa,261530.0,1,0,631.6,650.9,3.06,32119395.49,31124230.16,-3.1,4.4,6,18.9,3,0.39,0.4,14,0.79,42.2,21.3,True,True,synthetic_industry_based
SYN_00029,residential_single_family,Calgary,1623.0,1,1,20.2,22.1,9.31,373050.41,437438.0,17.26,3.4,3,5.9,4,0.47,0.25,3,0.61,40.8,33.0,False,False,synthetic_industry_based
SYN_00030,commercial_office,Ottawa,481795.0,44,0,2129.2,2529.7,18.81,271756498.42,424369488.61,56.16,4.0,9,8.3,27,0.37,0.72,71,0.04,59.5,52.1,False,False,synthetic_industry_based
SYN_00031,commercial_retail,Calgary,90313.0,1,0,813.2,811.7,-0.19,28062652.53,24904978.65,-11.25,5.0,5,17.3,4,0.51,0.45,9,0.47,32.7,23.4,True,True,synthetic_industry_based
SYN_00032,renovation_commercial,Edmonton,8070.0,9,0,47.5,57.5,20.98,1238850.0,1440066.53,16.24,3.5,4,9.0,7,0.57,0.38,3,0.74,51.6,21.5,False,False,synthetic_industry_based
SYN_00033,commercial_office,Ottawa,18052.0,33,0,76.0,85.2,12.16,8301726.57,8422419.96,1.45,3.7,6,9.6,0,0.36,0.47,4,0.22,44.8,42.9,True,False,synthetic_industry_based
SYN_00034,residential_single_family,Edmonton,3829.0,1,3,74.4,67.0,-10.0,1563489.04,1609086.43,2.92,4.6,3,12.7,3,0.57,0.26,3,0.3,27.4,23.9,True,True,synthetic_industry_based
SYN_00035,residential_single_family,Toronto,4077.0,2,4,42.1,52.8,25.32,1089642.42,1255162.95,15.19,2.9,3,7.6,0,0.27,0.27,6,0.54,41.9,41.4,False,False,synthetic_industry_based
SYN_00036,commercial_office,Winnipeg,378793.0,21,0,2003.8,2233.6,11.47,147574079.17,195019818.34,32.15,4.4,9,4.0,19,0.62,0.65,61,0.34,69.2,53.8,False,False,synthetic_industry_based
SYN_00037,infrastructure_bridge,Winnipeg,2713.0,0,0,79.6,93.9,18.06,12955453.86,11179735.36,-13.71,2.9,5,9.9,0,0.48,0.28,3,0.0,45.0,21.3,True,False,synthetic_industry_based
SYN_00038,residential_single_family,Victoria,2948.0,2,2,31.2,30.1,-3.5,671576.46,663135.71,-1.26,3.5,3,9.0,3,0.17,0.37,3,0.61,38.6,18.4,True,True,synthetic_industry_based
SYN_00039,commercial_office,Saskatoon,447638.0,49,0,2168.8,2086.4,-3.8,155323937.22,172955425.59,11.35,4.7,9,7.9,10,0.48,0.61,69,0.41,62.2,6.6,False,True,synthetic_industry_based
SYN_00040,commercial_office,Halifax,244839.0,26,0,1064.7,1216.7,14.29,106790136.74,122781689.73,14.97,4.7,9,8.9,8,0.34,0.59,35,0.26,58.4,27.7,False,False,synthetic_industry_based
SYN_00041,commercial_office,Victoria,370016.0,28,0,1404.1,1317.1,-6.19,97264860.6,132695951.02,36.43,4.7,9,13.5,20,0.33,0.74,59,0.55,59.2,45.9,False,True,synthetic_industry_based
SYN_00042,commercial_office,Halifax,295335.0,44,0,1088.2,1248.2,14.7,83208279.38,73982311.96,-11.09,4.6,9,14.9,7,0.32,0.61,47,0.52,57.7,32.1,True,False,synthetic_industry_based
SYN_00043,commercial_office,Halifax,448899.0,3,0,1807.3,1971.3,9.07,168024705.32,236550180.73,40.78,3.8,7,11.0,21,0.31,0.6,67,0.36,54.3,40.1,False,False,synthetic_industry_based
SYN_00044,commercial_office,Calgary,420098.0,5,0,1596.0,1436.4,-10.0,134949767.67,163488347.7,21.15,3.6,7,15.2,16,0.45,0.4,65,0.45,50.8,37.3,False,True,synthetic_industry_based
SYN_00045,commercial_office,Edmonton,171619.0,10,0,754.9,1039.5,37.7,68504369.43,67960948.66,-0.79,4.0,7,9.3,4,0.49,0.55,18,0.32,54.2,33.6,True,False,synthetic_industry_based
SYN_00046,healthcare_hospital,Vancouver,168082.0,9,0,744.9,903.8,21.33,192895864.93,202508175.85,4.98,4.2,8,9.8,5,0.32,0.57,29,0.0,58.1,51.8,True,False,synthetic_industry_based
SYN_00047,residential_single_family,Saskatoon,4650.0,1,4,57.5,78.5,36.54,1397602.0,1617051.56,15.7,4.0,3,2.5,4,0.49,0.25,3,0.49,41.8,51.3,False,False,synthetic_industry_based
